participant_id,timestamp,age,semester,semester_raw,department_raw,department,gender,caregiver_raw,caregiver,family_moves,friends_have,friends_want,friend_gap,attachment_style,vignette_secure,vignette_preoccupied,vignette_dismissing,vignette_fearful,anxiety_1,anxiety_2,anxiety_3,anxiety_4,anxiety,avoidance_1,avoidance_2,avoidance_3,avoidance_4,avoidance,scenario_anx_1,scenario_anx_2,scenario_anx_3,scenario_anx_4,scenario_anx_5,scenario_anx_6,scenario_anx,scenario_expect_1,scenario_expect_2,scenario_expect_3,scenario_expect_4,scenario_expect_5,scenario_expect_6,scenario_expect,fne_1,fne_2,fne_3,fne_4,fne_5,fne_6,fne,loneliness_1,loneliness_2,loneliness_3,loneliness,convo_started,approach_inhibition,avoid_rank_1,avoid_sel_1,avoid_rank_2,avoid_sel_2,avoid_rank_3,avoid_sel_3,avoid_rank_4,avoid_sel_4,avoid_rank_5,avoid_sel_5,avoid_rank_6,avoid_sel_6,n_situations_avoided,willing_followup,longstring,item_sd,straightlining_flag,nonsense_row_flag,undergraduate_flag,graduated_flag,analytic_sample
P001,2026-08-16 14:41:56,,,1000th,bAEdgveargv,,,Both parents,Both parents,0,0.0,0.0,0.0,Secure,7,1,1,1,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1.0,0,0,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,Yes — an interview,29,0.0,1,1,1,0,0
P002,2026-08-16 20:03:40,21.0,6.0,6th,BIO,MNS,Woman,Both parents,Both parents,0,2.0,7.0,5.0,Preoccupied,1,5,4,1,4,5,4,3,4.0,6,6,4,3,4.75,4,3,6,2,4,1,3.3333333333333335,6,6,2,5,5,2,4.333333333333333,4,1,2,4,4,4,3.1666666666666665,3,2,2,2.3333333333333335,1,2,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",3,1.5377034888769792,0,0,1,0,1
P003,2026-08-17 03:11:11,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,2.0,3.0,1.0,Fearful,4,5,3,5,4,4,4,4,4.0,6,4,4,5,4.75,3,3,3,4,3,3,3.1666666666666665,3,3,3,4,3,3,3.1666666666666665,2,3,3,2,3,3,2.6666666666666665,2,3,2,2.3333333333333335,1,1,2.0,1,,0,,0,,0,,0,,0,1,Yes — a group discussion,5,0.8905635565617213,0,0,1,0,1
P004,2026-08-17 03:13:36,22.0,3.0,3rd,ENH,ENH,Man,Kinda both but mostly one,One parent,1,1.0,0.0,-1.0,Secure,7,1,4,4,1,1,7,6,3.75,7,7,5,7,6.5,1,1,4,1,1,1,1.5,6,6,6,6,6,6,6.0,1,1,1,1,3,1,1.3333333333333333,3,1,3,2.3333333333333335,2,2,,0,1.0,1,3.0,1,,0,2.0,1,,0,3,"No, thank you",6,2.5159589148242754,0,0,1,0,1
P005,2026-08-17 03:15:04,21.0,7.0,7th,CSE,CSE,Woman,Both parents,Both parents,2,6.0,15.0,9.0,Secure,6,2,5,4,5,7,4,3,4.75,2,5,2,5,3.5,1,1,3,1,4,1,1.8333333333333333,5,4,4,6,2,3,4.0,3,1,1,2,3,1,1.8333333333333333,2,1,1,1.3333333333333333,4,1,,0,1.0,1,,0,,0,2.0,1,3.0,1,3,Yes — either is fine,2,1.746918469171081,0,0,1,0,1
P006,2026-08-17 03:22:51,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,0.0,20.0,20.0,Fearful,7,7,7,7,7,7,7,7,7.0,7,7,1,7,5.5,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1.0,0,4,,0,2.0,1,,0,,0,1.0,1,3.0,1,3,"No, thank you",21,2.6129650221341554,1,0,1,0,1
P007,2026-08-17 03:24:46,20.0,5.0,5th,CS,CSE,Man,Both parents,Both parents,0,0.0,2.0,2.0,Dismissing,6,1,7,5,1,1,1,1,1.0,7,1,7,7,5.5,1,1,2,1,2,1,1.3333333333333333,4,4,4,6,4,4,4.333333333333333,3,5,5,5,3,5,4.333333333333333,4,1,3,2.6666666666666665,2,0,2.0,1,1.0,1,,0,,0,3.0,1,,0,3,Yes — an interview,4,2.0642392651634074,0,0,1,0,1
P008,2026-08-17 03:26:03,21.0,5.0,5th,cse,CSE,Man,Both parents,Both parents,0,6.0,4.0,-2.0,Secure,5,2,3,5,2,1,5,1,2.25,6,7,5,7,6.25,1,1,2,1,6,4,2.5,5,5,5,6,4,5,5.0,3,2,2,2,2,1,2.0,1,2,1,1.3333333333333333,4,1,,0,1.0,1,2.0,1,,0,,0,3.0,1,3,"No, thank you",4,2.085606313420939,0,0,1,0,1
P009,2026-08-17 03:43:44,23.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,3.0,3.0,0.0,Fearful,6,4,6,5,7,4,4,1,4.0,7,4,1,7,4.75,4,4,3,2,5,4,3.6666666666666665,5,4,4,6,4,2,4.166666666666667,2,2,2,1,1,2,1.6666666666666667,3,3,4,3.3333333333333335,2,2,2.0,1,1.0,1,,0,,0,,0,3.0,1,3,Yes — an interview,4,1.7852708809104014,0,0,1,0,1
P010,2026-08-17 04:09:53,24.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,4.0,5.0,1.0,Secure,6,3,5,2,3,3,2,2,2.5,7,2,2,2,3.25,4,4,4,4,4,4,4.0,4,4,4,4,4,3,3.8333333333333335,3,3,3,3,3,3,3.0,1,2,2,1.6666666666666667,4,1,,0,,0,2.0,1,,0,,0,3.0,1,2,"No, thank you",11,1.1457782864819004,0,0,1,0,1
P011,2026-08-17 04:10:58,22.0,5.0,5th,Cse,CSE,Prefer not to say,Both parents,Both parents,0,0.0,2.0,2.0,Fearful,6,2,6,6,3,2,4,3,3.0,6,7,5,7,6.25,5,4,6,6,1,3,4.166666666666667,5,5,6,5,1,3,4.166666666666667,1,1,2,1,2,3,1.6666666666666667,3,3,3,3.0,1,3,2.0,1,1.0,1,,0,3.0,1,,0,,0,3,"No, thank you",4,1.89502849712771,0,0,1,0,1
P012,2026-08-17 04:15:57,22.0,5.0,5 th,CSE,CSE,Man,Both parents,Both parents,1,10.0,3.0,-7.0,Secure,7,7,7,5,6,7,6,6,6.25,6,7,4,7,6.0,5,3,3,3,2,5,3.5,5,5,4,4,5,5,4.666666666666667,4,4,5,5,5,4,4.5,3,2,3,2.6666666666666665,4,2,1.0,1,,0,3.0,1,,0,2.0,1,,0,3,Yes — a group discussion,3,1.4019690586383533,0,0,1,0,1
P013,2026-08-17 04:36:40,23.0,7.0,7th,SLS,SLS,Woman,Both parents,Both parents,1,0.0,1.0,1.0,Fearful,4,1,7,7,7,1,4,4,4.0,7,7,4,7,6.25,4,6,1,4,6,6,4.5,4,4,6,6,1,4,4.166666666666667,1,1,3,5,5,3,3.0,4,4,4,4.0,3,3,,0,,0,,0,2.0,1,3.0,1,1.0,1,3,"No, thank you",3,1.9208475140973045,0,0,1,0,1
P014,2026-08-17 06:58:39,23.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,0.0,4.0,4.0,Fearful,5,6,6,6,7,5,2,2,4.0,6,6,2,6,5.0,2,6,2,3,1,1,2.5,2,6,1,3,1,1,2.3333333333333335,5,5,5,5,5,5,5.0,3,3,4,3.3333333333333335,1,2,2.0,1,1.0,1,,0,,0,3.0,1,,0,3,"No, thank you",6,1.934901125259898,0,0,1,0,1
P015,2026-08-17 07:23:00,21.0,5.0,5th,Cse ,CSE,Man,Both parents,Both parents,2,5.0,1.0,-4.0,Secure,6,5,6,1,3,5,3,5,4.0,5,2,3,1,2.75,2,4,5,3,2,5,3.5,2,5,4,4,5,4,4.0,1,1,1,1,1,1,1.0,1,1,1,1.0,4,0,1.0,1,2.0,1,,0,3.0,1,,0,,0,3,"No, thank you",9,1.6339983901204607,0,0,1,0,1
P016,2026-08-17 07:42:08,21.0,6.0,6,EEE,EEE,Man,Both parents,Both parents,2,3.0,3.0,0.0,Dismissing,2,4,7,5,5,5,5,5,5.0,7,6,5,6,6.0,2,5,3,3,4,4,3.5,4,5,1,3,3,5,3.5,5,4,4,3,4,4,4.0,3,3,3,3.0,1,3,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",4,1.2913123885137414,0,0,1,0,1
