variable,label,type,range,n_valid,n_missing
participant_id,Anonymous participant ID,string,P001-P104,104,0
timestamp,Form submission time,datetime,2026-08-16 to 2026-08-18,104,0
age,Age in years,numeric,19-26,103,1
semester,"Semester number, parsed",numeric,1-12,102,2
semester_raw,"Semester, as typed",string,free text,104,0
department_raw,"Department, as typed",string,free text,104,0
department,"Department, harmonised",categorical,CSE/EEE/MNS/...,103,1
gender,Gender,categorical,Man/Woman/Prefer not to say,103,1
caregiver_raw,"Caregiver, as typed",string,free text,104,0
caregiver,Primary childhood caregiver,categorical,4 levels,104,0
family_moves,Pre-university moves/school changes,ordinal,0-3,104,0
friends_have,Current close friends at BRACU,count,>=0,103,1
friends_want,Desired number of close friends,count,>=0,102,2
friend_gap,want minus have,numeric,derived,102,2
attachment_style,Self-selected 4-category style,categorical,Secure/Preoccupied/Dismissing/Fearful,104,0
vignette_secure,Self-rating of secure vignette,Likert item,1-7,104,0
vignette_preoccupied,Self-rating of preoccupied vignette,Likert item,1-7,104,0
vignette_dismissing,Self-rating of dismissing vignette,Likert item,1-7,104,0
vignette_fearful,Self-rating of fearful vignette,Likert item,1-7,104,0
anxiety_1,How much do you agree? [I worry that people close to me won't care about me as much as I care about them],Likert item,see scale,104,0
anxiety_2,How much do you agree? [I often worry that the people I am close to will leave me],Likert item,see scale,104,0
anxiety_3,How much do you agree? [I need a lot of reassurance that I am cared about],Likert item,see scale,104,0
anxiety_4,"How much do you agree? [When someone I care about is out of touch for a day, I start assuming something is wrong between us]",Likert item,see scale,104,0
anxiety,"Attachment anxiety, mean of 4",numeric,1-7,104,0
avoidance_1,And these? [I prefer not to show others how I feel deep down],Likert item,see scale,104,0
avoidance_2,And these? [I find it difficult to depend on other people],Likert item,see scale,104,0
avoidance_3,And these? [I get uncomfortable when someone wants to be very close to me],Likert item,see scale,104,0
avoidance_4,And these? [I would rather solve a problem alone than ask a friend for help],Likert item,see scale,104,0
avoidance,"Attachment avoidance, mean of 4",numeric,1-7,104,0
scenario_anx_1,How anxious or worried would you feel doing this? [You ask a classmate you have spoken to twice if they want to sit together in the next class],Likert item,see scale,104,0
scenario_anx_2,How anxious or worried would you feel doing this? [You ask a group in your section if you can join their project team],Likert item,see scale,104,0
scenario_anx_3,How anxious or worried would you feel doing this? [You message someone from your club and suggest getting lunch],Likert item,see scale,104,0
scenario_anx_4,How anxious or worried would you feel doing this? [You ask a friend to explain something you did not understand in class],Likert item,see scale,104,0
scenario_anx_5,"How anxious or worried would you feel doing this? [You see friends posting from an outing you were not invited to, and you ask them about it]",Likert item,see scale,104,0
scenario_anx_6,How anxious or worried would you feel doing this? [You tell a close friend that something they did upset you],Likert item,see scale,104,0
scenario_anx,Anticipated anxiety over 6 bids,numeric,1-6,104,0
scenario_expect_1,And how likely do you think it is that the other person says yes or reacts well? [You ask a classmate you have spoken to twice if they want to sit together in the next class],Likert item,see scale,104,0
scenario_expect_2,And how likely do you think it is that the other person says yes or reacts well? [You ask a group in your section if you can join their project team],Likert item,see scale,104,0
scenario_expect_3,And how likely do you think it is that the other person says yes or reacts well? [You message someone from your club and suggest getting lunch],Likert item,see scale,104,0
scenario_expect_4,And how likely do you think it is that the other person says yes or reacts well? [You ask a friend to explain something you did not understand in class],Likert item,see scale,104,0
