,anxiety,avoidance,fne,scenario_anx,scenario_expect,loneliness,friends_have,friend_gap,approach_inhibition,convo_started
anxiety,1.0,0.236,0.319,0.334,0.063,0.357,-0.113,0.073,0.266,-0.081
avoidance,0.236,1.0,0.269,0.153,0.27,0.223,-0.042,-0.031,0.179,-0.03
fne,0.319,0.269,1.0,0.433,0.178,0.413,-0.074,-0.181,0.167,-0.196
scenario_anx,0.334,0.153,0.433,1.0,0.176,0.446,0.036,-0.241,0.149,-0.091
scenario_expect,0.063,0.27,0.178,0.176,1.0,0.121,0.258,-0.266,0.104,0.223
loneliness,0.357,0.223,0.413,0.446,0.121,1.0,-0.272,-0.064,0.358,-0.089
friends_have,-0.113,-0.042,-0.074,0.036,0.258,-0.272,1.0,-0.321,-0.048,0.346
friend_gap,0.073,-0.031,-0.181,-0.241,-0.266,-0.064,-0.321,1.0,0.106,-0.185
approach_inhibition,0.266,0.179,0.167,0.149,0.104,0.358,-0.048,0.106,1.0,-0.04
convo_started,-0.081,-0.03,-0.196,-0.091,0.223,-0.089,0.346,-0.185,-0.04,1.0
