,anxiety,avoidance,fne,scenario_anx,scenario_expect,loneliness,friends_have,friend_gap,approach_inhibition,convo_started
anxiety,1.0,0.0166,0.001,0.0006,0.5254,0.0002,0.2573,0.4696,0.0067,0.4151
avoidance,0.0166,1.0,0.0061,0.1222,0.0058,0.0233,0.6744,0.7551,0.071,0.7644
fne,0.001,0.0061,1.0,0.0,0.0717,0.0,0.4585,0.0698,0.092,0.047
scenario_anx,0.0006,0.1222,0.0,1.0,0.0755,0.0,0.718,0.0154,0.1322,0.3632
scenario_expect,0.5254,0.0058,0.0717,0.0755,1.0,0.222,0.009,0.0071,0.2961,0.0238
loneliness,0.0002,0.0233,0.0,0.0,0.222,1.0,0.0057,0.5225,0.0002,0.3721
friends_have,0.2573,0.6744,0.4585,0.718,0.009,0.0057,1.0,0.0011,0.6322,0.0004
friend_gap,0.4696,0.7551,0.0698,0.0154,0.0071,0.5225,0.0011,1.0,0.293,0.0634
approach_inhibition,0.0067,0.071,0.092,0.1322,0.2961,0.0002,0.6322,0.293,1.0,0.687
convo_started,0.4151,0.7644,0.047,0.3632,0.0238,0.3721,0.0004,0.0634,0.687,1.0
