participant_id,timestamp,age,semester,semester_raw,department_raw,department,gender,caregiver_raw,caregiver,family_moves,friends_have,friends_want,friend_gap,attachment_style,vignette_secure,vignette_preoccupied,vignette_dismissing,vignette_fearful,anxiety_1,anxiety_2,anxiety_3,anxiety_4,anxiety,avoidance_1,avoidance_2,avoidance_3,avoidance_4,avoidance,scenario_anx_1,scenario_anx_2,scenario_anx_3,scenario_anx_4,scenario_anx_5,scenario_anx_6,scenario_anx,scenario_expect_1,scenario_expect_2,scenario_expect_3,scenario_expect_4,scenario_expect_5,scenario_expect_6,scenario_expect,fne_1,fne_2,fne_3,fne_4,fne_5,fne_6,fne,loneliness_1,loneliness_2,loneliness_3,loneliness,convo_started,approach_inhibition,avoid_rank_1,avoid_sel_1,avoid_rank_2,avoid_sel_2,avoid_rank_3,avoid_sel_3,avoid_rank_4,avoid_sel_4,avoid_rank_5,avoid_sel_5,avoid_rank_6,avoid_sel_6,n_situations_avoided,willing_followup,longstring,item_sd,straightlining_flag,nonsense_row_flag,undergraduate_flag,graduated_flag,analytic_sample,z_fne,z_sanx,z_lone,z_fri,z_inh,z_conv,reported_distress,social_cost,D,male,anx_c,avo_c,anx_x_avo,refused,cost2,distress2,D2
P002,2026-08-16 20:03:40,21.0,6.0,6th,BIO,MNS,Woman,Both parents,Both parents,0,2.0,7.0,5.0,Preoccupied,1,5,4,1,4,5,4,3,4.0,6,6,4,3,4.75,4,3,6,2,4,1,3.333333333333333,6,6,2,5,5,2,4.333333333333333,4,1,2,4,4,4,3.1666666666666665,3,2,2,2.333333333333333,1,2,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",3,1.5377034888769792,0,0,1,0,1,0.2450523959340714,0.3106078883630342,-0.0830508407003666,0.438215971726449,0.1780405918673101,0.5348866282132322,0.2778301421485528,0.2670230877766562,-0.0108070543718966,0.0,0.5218446601941746,0.2305825242718446,0.1203282590253558,1.0,0.17758256551304122,0.27783014214855284,-0.10024757663551162
P003,2026-08-17 03:11:11,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,2.0,3.0,1.0,Fearful,4,5,3,5,4,4,4,4,4.0,6,4,4,5,4.75,3,3,3,4,3,3,3.1666666666666665,3,3,3,4,3,3,3.1666666666666665,2,3,3,2,3,3,2.6666666666666665,2,3,2,2.333333333333333,1,1,2.0,1,,0,,0,,0,,0,,0,1,Yes — a group discussion,5,0.8905635565617213,0,0,1,0,1,-0.1756208837527514,0.1589841324322642,-0.0830508407003666,0.438215971726449,-0.7871268272028454,0.5348866282132322,-0.0083183756602435,0.0257312330091172,0.0340496086693608,1.0,0.5218446601941746,0.2305825242718446,0.1203282590253558,0.0,0.17758256551304122,-0.008318375660243585,0.18590094117328482
P004,2026-08-17 03:13:36,22.0,3.0,3rd,ENH,ENH,Man,Kinda both but mostly one,One parent,1,1.0,0.0,-1.0,Secure,7,1,4,4,1,1,7,6,3.75,7,7,5,7,6.5,1,1,4,1,1,1,1.5,6,6,6,6,6,6,6.0,1,1,1,1,3,1,1.3333333333333333,3,1,3,2.333333333333333,2,2,,0,1.0,1,3.0,1,,0,2.0,1,,0,3,"No, thank you",6,2.515958914824276,0,0,1,0,1,-1.2974162962509457,-1.3572534268754377,-0.0830508407003666,0.8520866116903177,0.1780405918673101,-0.312702951878505,-1.3273348615631917,0.158593352744689,1.4859282143078805,1.0,0.2718446601941746,1.980582524271845,0.5384107832972003,1.0,0.38451788549497556,-1.3273348615631915,1.711852747058167
P005,2026-08-17 03:15:04,21.0,7.0,7th,CSE,CSE,Woman,Both parents,Both parents,2,6.0,15.0,9.0,Secure,6,2,5,4,5,7,4,3,4.75,2,5,2,5,3.5,1,1,3,1,4,1,1.8333333333333333,5,4,4,6,2,3,4.0,3,1,1,2,3,1,1.8333333333333333,2,1,1,1.3333333333333333,4,1,,0,1.0,1,,0,,0,2.0,1,3.0,1,3,Yes — either is fine,2,1.746918469171081,0,0,1,0,1,-0.8767430165641227,-1.0540059150138972,-1.30508463957719,-1.2172665881290254,-0.7871268272028454,-2.007882112061979,-0.96537446578901,-1.32934004174276,-0.3639655759537501,0.0,1.2718446601941746,-1.019417475728155,-1.296540673013479,0.0,-1.2611756138531076,-0.96537446578901,-0.29580114806409763
P006,2026-08-17 03:22:51,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,0.0,20.0,20.0,Fearful,7,7,7,7,7,7,7,7,7.0,7,7,1,7,5.5,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1.0,0,4,,0,2.0,1,,0,,0,1.0,1,3.0,1,3,"No, thank you",21,2.6129650221341554,1,0,1,0,1,-1.577865149375494,-1.8121246946677485,-1.7124292392027978,1.2659572516541864,2.108375430007621,1.3824762083049695,-1.6949949220216212,0.7610949126909948,2.456089834712616,1.0,3.521844660194174,0.9805825242718448,3.4534593269865206,1.0,-0.2232359937743057,-1.6949949220216212,1.4717589282473154
P007,2026-08-17 03:24:46,20.0,5.0,5th,CS,CSE,Man,Both parents,Both parents,0,0.0,2.0,2.0,Dismissing,6,1,7,5,1,1,1,1,1.0,7,1,7,7,5.5,1,1,2,1,2,1,1.3333333333333333,4,4,4,6,4,4,4.333333333333333,3,5,5,5,3,5,4.333333333333333,4,1,3,2.6666666666666665,2,0,2.0,1,1.0,1,,0,,0,3.0,1,,0,3,Yes — an interview,4,2.0642392651634074,0,0,1,0,1,1.2266233818699912,-1.508877182806208,0.3242937589252414,1.2659572516541864,-1.752294246273001,-0.312702951878505,-0.1411269004681083,-0.1186865468930195,0.0224403535750888,1.0,-2.4781553398058254,0.9805825242718448,-2.4300358186445474,0.0,0.7951255052897139,-0.14112690046810838,0.9362524057578223
P008,2026-08-17 03:26:03,21.0,5.0,5th,cse,CSE,Man,Both parents,Both parents,0,6.0,4.0,-2.0,Secure,5,2,3,5,2,1,5,1,2.25,6,7,5,7,6.25,1,1,2,1,6,4,2.5,5,5,5,6,4,5,5.0,3,2,2,2,2,1,2.0,1,2,1,1.3333333333333333,4,1,,0,1.0,1,2.0,1,,0,,0,3.0,1,3,"No, thank you",4,2.085606313420939,0,0,1,0,1,-0.7365185900018484,-0.4475108912908164,-1.30508463957719,-1.2172665881290254,-0.7871268272028454,-2.007882112061979,-0.5920147406463324,-1.32934004174276,-0.7373253010964277,1.0,-1.2281553398058254,1.730582524271845,-2.1254241681591104,1.0,-1.2611756138531076,-0.5920147406463324,-0.6691608732067752
P009,2026-08-17 03:43:44,23.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,3.0,3.0,0.0,Fearful,6,4,6,5,7,4,4,1,4.0,7,4,1,7,4.75,4,4,3,2,5,4,3.6666666666666665,5,4,4,6,4,2,4.166666666666667,2,2,2,1,1,2,1.6666666666666667,3,3,4,3.333333333333333,2,2,2.0,1,1.0,1,,0,,0,,0,3.0,1,3,Yes — an interview,4,1.7852708809104014,0,0,1,0,1,-1.0169674431263969,0.6138554002245749,1.138982958176457,0.0243453317625804,0.1780405918673101,-0.312702951878505,-0.201556021450911,0.2571664824819606,0.4587225039328716,1.0,0.5218446601941746,0.2305825242718446,0.1203282590253558,0.0,0.5816641449695187,-0.201556021450911,0.7832201664204297
P010,2026-08-17 04:09:53,24.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,4.0,5.0,1.0,Secure,6,3,5,2,3,3,2,2,2.5,7,2,2,2,3.25,4,4,4,4,4,4,4.0,4,4,4,4,4,3,3.8333333333333335,3,3,3,3,3,3,3.0,1,2,2,1.6666666666666667,4,1,,0,,0,2.0,1,,0,,0,3.0,1,2,"No, thank you",11,1.1457782864819004,0,0,1,0,1,0.1048279693717972,0.9171029120861154,-0.8977400399515819,-0.3895253082012882,-0.7871268272028454,-2.007882112061979,0.5109654407289563,-1.0205685718544235,-1.53153401258338,1.0,-0.9781553398058254,-1.269417475728155,1.2416874823263269,1.0,-0.6436326740764351,0.5109654407289563,-1.1545981148053914
P011,2026-08-17 04:10:58,22.0,5.0,5th,Cse,CSE,Prefer not to say,Both parents,Both parents,0,0.0,2.0,2.0,Fearful,6,2,6,6,3,2,4,3,3.0,6,7,5,7,6.25,5,4,6,6,1,3,4.166666666666667,5,5,6,5,1,3,4.166666666666667,1,1,2,1,2,3,1.6666666666666667,3,3,3,3.0,1,3,2.0,1,1.0,1,,0,3.0,1,,0,,0,3,"No, thank you",4,1.89502849712771,0,0,1,0,1,-1.0169674431263969,1.068726668016886,0.7316383585508495,1.2659572516541864,1.1432080109374658,0.5348866282132322,0.0258796124452445,0.9189225623389335,0.893042949893689,0.0,-0.4781553398058253,1.730582524271845,-0.8274872749552269,1.0,0.9987978051025179,0.025879612445244504,0.9729181926572734
