idx,q,pid,words,stance,stance_rule,demands_instance,hedges,first_sg,tags,text
0,1,P1,48,D,D,True,0,9,AVOIDANCE,"Hi, I'm P1. I'm from the EEE department and in my 5th semester. If I had a class canceled right now, I wouldn't particularly call anyone; rather, I would just go to the library and finish my studies. Or, I would finish any errands or work I have."
1,1,P2,35,D,D,True,0,6,,"Hi, I'm P2. I'm also from the EEE department and in my 8th semester. If one of my classes got canceled, I would call one of my friends (whoever is free) and go hang out."
2,1,P3,45,D,D,True,0,7,AVOIDANCE,"My name is P3. I'm in my 6th semester. If a situation like this happens, I'll call only one of my friends. If they're available and have a free schedule, we'll hang out or do something together. If not, I'll be on my way home."
3,1,P4,36,D,D,True,1,6,AVOIDANCE,"Hello, I'm P4. Currently, I'm in my 6th semester in the Bio-Tech Department. If a situation like this happens, I'll also probably call one of my friends, or I'll go to the print lab and study."
4,1,P5,35,D,D,True,1,7,AVOIDANCE,"Hello, I'm P5. I am currently in my 9th semester, and I'm in the CSE department. If one of my classes got canceled, since my house is nearby, I would probably go home and sleep."
5,2,P1,17,D,E,False,1,3,AVOIDANCE,"So, my class has started... well, if I had to say one word, it's ""nothing,"" I guess."
6,2,P5,1,D,G,False,0,0,,Ordinary.
7,2,P2,1,D,G,False,0,0,,Arrogance.
8,2,P3,1,D,G,False,0,0,NERVOUSNESS,Roller-coaster.
9,3,P1,50,G,D,False,3,2,REJECTION;NERVOUSNESS,"Okay, so I think Rafi deleted it because he thinks if he texts this, people will judge him. Or people will think he is desperate to hang out with them or something else. I think he thinks people might not take it the right way; that's why he deleted it."
10,3,P2,49,G,D,False,1,1,APPROACH_AVOIDANCE,"He is in an ethical dilemma about whether he should do it or not. It's like a fight between him and himself. So, he is thinking about whether he should do it or not. He's fighting the thought of whether he should talk to them or not, I think."
11,3,P4,22,G,G,False,1,0,REJECTION,"Maybe he is fearful that if they reject his request and don't become his friends, it will be really bad for him."
12,3,P6,120,G,D,False,4,4,REJECTION;NERVOUSNESS,"I think that typically, the way our brain works psychologically is that we always think of two things: the best-case scenario and the worst-case scenario. And when people think of a worst-case scenario, they tend to dive into that possibility so much that they think, ""It'll end up hurting me somehow,"" or ""I'll never be able to escape this."" But the thing is, when you attempt it in real life, it's never that severe or deep. I think in this case, Rafi is also thinking about it the same way—that in the worst-case scenario, they might think he is a creep. However, the actual outcome is never this bad. Yes, he may get rejected, but it's not the same thing."
13,4,P1,122,G,E,True,4,9,LONELINESS;AVOIDANCE,"I think in every semester... like, I'm in my 5th semester now. When I was in my first semester, this happened a lot, especially among the freshers who wanted to socialize and talk with each other. But then, people who can't get into a friend group or circle ultimately remain alone, and some of them try in the next semester to join a friend group. But in my 5th semester, I think people, after a few semesters, don't directly approach anyone like that. What they do is try to take some initiative to socialize, and if they fail, they don't really try again. I think people become less pushy or determined to make friends after a certain time. That's what I think."
14,4,P5,43,E,E,True,0,5,NERVOUSNESS;REJECTION,"I agree with P1. Because if it's the first semester, everything is new: a new place, new people. Some people face a bit of trouble opening up. And yes, I have experienced something similar in my first semester myself. I have been Rafi."
15,4,P2,118,G,D,True,1,1,NERVOUSNESS;REJECTION,"I agree with him on what he said. Typically in the first year, when everyone is a fresher, everyone starts from a base of zero. Everyone wants to open up and be friends; everyone has the common factor of being a fresher. Over time, as our semesters progress, let's say there is already a pre-existing group. Someone new would never like to go and initiate a conversation or approach them easily because those people are friends beforehand. Going to initiate something would feel very uncomfortable. Maybe they want to remain the way they are because entering a pre-existing friend group, knowing nothing about them, and doing so all of a sudden is an unpleasant thing to experience firsthand."
16,5,P4,66,G,G,False,3,0,REJECTION;LONELINESS,"There's nothing inherently bad here. The overall scenario had two possibilities: maybe they could have been friends, and maybe it would have been good for him. But for some reason, if Rafi feels, after interacting with them for a few days, that they are not interested or willing to make him part of their circle, then he'll probably feel left out and anxious. Both are possible."
17,5,P7,75,G,D,False,1,1,REJECTION,"I think that would be a fear factor because they did classes together for three months. Although it's not a lot of time because of the open credit system, they were still in the same class, and they rejected him directly. Now he has to go to the same class and be in the same section with them. As the scenario explains, he overthinks a lot, so it would definitely take a toll on him."
18,5,P8,106,G,D,False,2,1,REJECTION,"I think it depends on the perspective. Let's say there are three people in that group. One can be good, one can be bad, and one can be in between. So, who accepts him and who doesn't depends on how the individuals are, and it also depends on various factors. Let's say, from their perspective: a guy is trying to be friends with us, how do we treat him? Do we treat him like an object or someone we can use, or do we actually treat him as a friend? This also depends on if they are looking for friends or not, especially someone like Rafi."
19,5,P9,33,G,G,False,1,0,REJECTION,"Yes, but there is another factor here. Let's say they decided to be friends with him. If their vibes don't match, things might not work out, so that is also a factor here."
20,7,P4,60,D,D,False,2,4,AVOIDANCE;LONELINESS,"It could be that they like to be alone; they prefer their own company. And yes, since we're in an open credit curriculum, not all of our friends are available when we are free. So, if I like being alone, I may not want to join a new friend group. After being done with my classes, I might just leave."
21,7,P1,62,G,D,False,4,2,AVOIDANCE,"I do agree on that point because some people might just want to be alone and like it that way. It's not because they lack confidence or anything. Every person has different behaviors, different natures, and different preferences. Some people might like being alone; some people, if they're lonely, might feel less confident. So, I think it varies from person to person."
